x,y,z
-3.900000,-19.200001,39.000000
-3.900000,-19.200001,39.000000
-5.400000,-18.600000,39.599998
-4.800000,-19.500000,39.299999
-4.800000,-19.500000,39.299999
-4.800000,-19.500000,39.299999
-4.800000,-19.500000,39.299999
-5.850000,-19.350000,39.299999
-5.850000,-19.350000,40.349998
-5.850000,-20.250000,39.750000
-6.000000,-18.900000,39.599998
-6.000000,-18.900000,39.599998
-6.000000,-18.900000,39.599998
-6.000000,-18.900000,39.599998
-6.000000,-18.900000,39.599998
-6.000000,-18.900000,39.599998
-5.550000,-19.650000,39.750000
-5.550000,-19.650000,39.750000
-5.850000,-17.850000,40.650002
-5.700000,-19.200001,39.599998
-4.800000,-18.000000,40.500000
-4.800000,-18.000000,40.500000
-6.150000,-18.750000,40.049999
-5.850000,-19.049999,39.750000
-5.850000,-19.049999,39.750000
-6.000000,-19.200001,39.900002
-6.000000,-19.200001,39.900002
-6.000000,-19.200001,39.900002
-6.000000,-19.200001,39.900002
-6.000000,-19.200001,39.900002
-6.000000,-19.200001,39.900002
-6.000000,-19.200001,39.900002
-6.150000,-18.450001,38.849998
-6.150000,-19.049999,39.150002
-6.150000,-19.049999,39.150002
-6.750000,-18.750000,39.750000
-5.250000,-19.350000,39.750000
-5.250000,-19.350000,39.750000
-5.250000,-19.350000,39.750000
-5.250000,-19.350000,39.750000
-5.250000,-19.350000,39.750000
-5.250000,-19.350000,39.750000
-4.050000,-18.450001,40.049999
-6.150000,-19.350000,40.049999
-6.150000,-19.350000,40.049999
-4.950000,-18.750000,39.750000
-4.950000,-19.650000,39.150002
-4.950000,-19.650000,39.150002
-4.950000,-19.650000,39.150002
-4.950000,-19.650000,39.150002
-4.950000,-19.650000,39.150002
-4.950000,-19.650000,39.150002
-5.700000,-19.200001,39.000000
-5.700000,-19.200001,39.000000
-5.850000,-19.350000,39.450001
-5.700000,-18.299999,41.099998
-6.900000,-19.500000,39.900002
-6.900000,-19.500000,39.900002
-6.900000,-19.500000,39.900002
-6.900000,-19.500000,39.900002
-6.900000,-19.500000,39.900002
-6.900000,-19.500000,39.900002
-5.700000,-18.000000,39.900002
-5.700000,-18.000000,39.900002
-5.700000,-18.600000,39.900002
-5.550000,-19.950001,40.650002
-5.550000,-19.950001,40.650002
-5.550000,-19.950001,40.650002
-5.550000,-19.950001,40.650002
-5.550000,-19.950001,40.650002
-5.550000,-19.950001,40.650002
-5.550000,-19.950001,40.650002
-6.750000,-19.650000,39.750000
-6.750000,-19.650000,39.750000
-5.850000,-19.350000,39.750000
-5.250000,-19.650000,40.650002
-5.250000,-19.650000,40.650002
-6.750000,-20.549999,40.349998
-6.750000,-20.549999,40.349998
-6.750000,-20.549999,40.349998
-6.750000,-20.549999,40.349998
-6.750000,-20.549999,40.349998
-5.700000,-18.299999,39.900002
-5.700000,-18.299999,39.900002
-5.400000,-19.200001,40.200001
-6.600000,-19.200001,40.500000
-6.600000,-19.200001,40.500000
-5.100000,-19.500000,39.299999
-5.100000,-19.500000,39.299999
-5.100000,-19.500000,39.299999
-5.100000,-19.500000,39.299999
-5.100000,-19.500000,39.299999
-6.300000,-18.900000,39.000000
-6.300000,-18.900000,39.000000
-4.650000,-19.049999,40.349998
