x,y,ar,
-56.849998,-29.25,-9.75,-2.04598593492595
-56.549999,-30.15,-10.65,-2.0606159762382
-56.549999,-30.15,-10.65,-2.0606159762382
-56.549999,-30.15,-10.65,-2.0606159762382
-56.549999,-30.15,-10.65,-2.0606159762382
-56.549999,-30.15,-10.65,-2.0606159762382
-56.549999,-30.15,-10.65,-2.0606159762382
-56.849998,-29.549999,-9.15,-2.05014945117494
-56.700001,-30.9,-10.2,-2.06977225873065
-57,-30.6,-9.3,-2.06348141496835
-57.450001,-30.450001,-9.75,-2.05817529630625
-56.549999,-29.85,-9.75,-2.05647605431581
-56.549999,-29.85,-10.35,-2.05647605431581
-57.450001,-30.75,-9.15,-2.06224315045998
-57.450001,-30.75,-9.15,-2.06224315045998
-57.450001,-30.75,-9.15,-2.06224315045998
-57.450001,-30.75,-9.15,-2.06224315045998
-57.450001,-30.75,-9.15,-2.06224315045998
-56.549999,-30.450001,-9.45,-2.06473771680485
-57,-31.200001,-9.3,-2.07161690025868
-56.400002,-29.700001,-9.6,-2.05549345719439
-56.400002,-30.6,-9,-2.06790423138132
-56.849998,-28.950001,-9.75,-2.04180450403723
-56.400002,-29.4,-9.3,-2.05131995610731
-56.25,-31.950001,-9.45,-2.08735402195466
-56.25,-31.950001,-9.45,-2.08735402195466
-56.25,-31.950001,-9.45,-2.08735402195466
-56.25,-31.950001,-9.45,-2.08735402195466
-56.849998,-30.15,-8.85,-2.05842266950139
-57.599998,-30.299999,-10.2,-2.05505957212955
-57.75,-29.549999,-9.75,-2.04375078882058
-57.450001,-28.950001,-9.75,-2.03757219108047
-57.450001,-30.450001,-10.05,-2.05817529630625
-56.549999,-30.450001,-10.65,-2.06473771680485
-57.599998,-30.299999,-9.9,-2.05505957212955
-57.599998,-30.299999,-9.9,-2.05505957212955
-57.599998,-30.299999,-9.9,-2.05505957212955
-57.599998,-30.299999,-9.9,-2.05505957212955
-57.599998,-30.299999,-9.9,-2.05505957212955
-56.700001,-30.299999,-10.2,-2.06157712893005
-56.400002,-29.4,-10.2,-2.05131995610731
-55.950001,-29.85,-9.45,-2.06089278573908
-57.299999,-30.6,-10.2,-2.06129699086363
-57.299999,-29.1,-10.2,-2.0407069089692
-57,-30.299999,-10.5,-2.05938677308075
-57.599998,-29.700001,-10.2,-2.0468656849758
-57.599998,-29.700001,-10.2,-2.0468656849758
-57.599998,-29.700001,-10.2,-2.0468656849758
-57.599998,-29.700001,-10.2,-2.0468656849758
-57.599998,-29.700001,-10.2,-2.0468656849758
-57.599998,-29.700001,-10.2,-2.0468656849758
-57.599998,-29.700001,-10.2,-2.0468656849758
-56.849998,-31.049999,-10.95,-2.07069747583832
-57.150002,-30.450001,-9.45,-2.06034487713964
-56.25,-30.15,-8.85,-2.06282747836264
-55.650002,-29.25,-9.45,-2.05471862379747
-58.049999,-31.049999,-10.05,-2.06195991885121
-55.5,-30.299999,-10.2,-2.07052167902903
-55.5,-30.299999,-10.2,-2.07052167902903
-55.5,-30.299999,-10.2,-2.07052167902903
-55.5,-30.299999,-10.2,-2.07052167902903
-55.5,-30.299999,-10.2,-2.07052167902903
-56.700001,-29.700001,-9.9,-2.05330962840759
-58.5,-30.299999,-10.5,-2.04869957568827
-56.549999,-30.450001,-10.35,-2.06473771680485
-56.849998,-30.450001,-9.15,-2.06253230857172
-56.099998,-29.1,-10.5,-2.04930485203235
-57.150002,-28.950001,-10.35,-2.03967948986937
-55.799999,-30,-9.3,-2.06409626645849
-57.150002,-30.15,-8.85,-2.05624731925279
-57.150002,-30.15,-8.85,-2.05624731925279
-57.150002,-30.15,-8.85,-2.05624731925279
-57.150002,-30.15,-8.85,-2.05624731925279
-57.150002,-30.15,-8.85,-2.05624731925279
-57,-30,-9.6,-2.05527425583192
-57.450001,-29.25,-10.05,-2.04172787902043
-56.400002,-30.9,-8.7,-2.07200453547738
-57.299999,-30,-10.2,-2.05311397256395
-56.549999,-30.15,-8.85,-2.0606159762382
-56.700001,-30.299999,-9.9,-2.06157712893005
-56.700001,-30.6,-9.6,-2.0656837618547
-56.700001,-30.6,-9.6,-2.0656837618547
-56.700001,-30.6,-9.6,-2.0656837618547
-56.700001,-30.6,-9.6,-2.0656837618547
-56.700001,-30.6,-9.6,-2.0656837618547
-56.400002,-30.9,-9.9,-2.07200453547738
-56.700001,-30.299999,-9.9,-2.06157712893005
-56.549999,-31.049999,-10.35,-2.07292648292384
-55.799999,-29.4,-9.6,-2.05571732921041
-57.450001,-29.85,-9.75,-2.04998671840371
-56.700001,-29.1,-9.9,-2.04496985566294
-56.700001,-29.1,-9.9,-2.04496985566294
-56.700001,-29.1,-9.9,-2.04496985566294
-56.700001,-29.1,-9.9,-2.04496985566294
-56.700001,-29.1,-9.9,-2.04496985566294
-56.700001,-29.1,-9.9,-2.04496985566294
-56.700001,-29.1,-9.9,-2.04496985566294
-56.549999,-29.549999,-9.75,-2.05231794553811
-57.75,-28.950001,-9.75,-2.03548237086004
-57.299999,-29.700001,-9.6,-2.04899594397026
-57.150002,-29.85,-9.45,-2.05213198287826
-55.799999,-30.299999,-9.9,-2.06825767485169
-58.200001,-30,-9.9,-2.04673839127635
-58.200001,-30,-9.9,-2.04673839127635
-58.200001,-30,-9.9,-2.04673839127635
-58.200001,-30,-9.9,-2.04673839127635
