x,y,ar
26.099998,13.8,-2.7
26.099998,13.8,-2.7
26.400002,14.7,-3.9
27.900002,14.7,-2.1
26.849998,13.95,-3.45
26.849998,13.95,-3.45
26.25,15.15,-2.55
26.25,15.15,-2.55
26.25,15.15,-2.55
26.25,15.15,-2.55
26.400002,16.200001,-1.5
27.150002,16.35,-1.65
27.150002,16.35,-1.65
25.650002,16.049999,-2.55
26.400002,16.799999,-2.4
26.400002,16.799999,-2.4
25.950001,18.15,-1.65
25.049999,17.549999,-3.15
25.200001,18.6,-1.8
25.200001,18.6,-1.8
25.349998,19.950001,-1.95
24.900002,20.1,-2.1
24.900002,20.1,-2.1
24.599998,20.700001,-1.8
25.799999,20.4,-1.5
25.799999,20.4,-1.5
25.049999,19.950001,-1.95
24.150002,20.549999,-3.15
24.150002,20.549999,-3.15
23.849998,20.25,-1.95
24.299999,22.5,-2.7
24.299999,22.5,-2.7
24.150002,22.950001,-1.95
23.700001,23.1,-1.2
24.299999,21.9,0
24.299999,21.9,0
22.5,23.1,-1.2
24.299999,22.799999,-1.8
24.299999,22.799999,-1.8
23.849998,22.049999,-1.35
22.200001,24.6,-1.5
22.200001,24.6,-1.5
22.200001,23.1,-0.9
22.799999,24.299999,0.3
22.799999,24.299999,0.3
23.25,23.549999,-1.65
22.049999,24.75,0.15
22.049999,24.75,0.15
21.599998,25.5,-0.9
21.75,25.049999,-0.45
21.450001,24.450001,-1.05
21.450001,24.450001,-1.05
22.200001,25.799999,0.9
21.450001,26.85,-0.75
21.450001,26.85,-0.75
20.25,26.85,0.15
19.799999,26.4,0
19.799999,26.4,0
20.400002,27.299999,0.3
18.900002,27.9,0.3
19.950001,27.450001,-0.45
19.950001,27.450001,-0.45
20.099998,28.200001,-0.6
19.049999,28.049999,1.35
19.049999,28.049999,1.35
19.650002,28.65,0.45
18.75,28.65,-1.05
18.900002,30.9,0.6
18.900002,30.9,0.6
18,30,0.3
16.950001,30.15,1.05
16.799999,30,0
17.849998,28.950001,1.65
16.950001,30.15,1.05
16.650002,30.15,0.45
16.650002,30.15,0.45
15.599998,30.299999,0.3
16.5,31.200001,0.9
16.349998,30.15,-0.45
14.849998,31.049999,-0.45
15.75,31.65,0.45
15,32.400002,0
15,32.400002,0
14.849998,31.65,0.45
15.450001,32.25,1.95
15.450001,32.25,1.95
15.150002,30.75,0.45
14.549999,31.950001,1.05
14.549999,31.950001,1.05
14.099998,32.099998,1.5
13.349998,33.150002,1.95
13.349998,32.849998,1.05
13.349998,32.849998,1.05
13.349998,34.049999,1.65
14.25,34.349998,1.35
14.25,34.349998,1.35
10.349998,34.049999,1.65
11.400002,33.299999,1.2
11.849998,33.450001,0.45
12.75,34.650002,1.05
11.700001,34.799999,2.4
10.799999,35.700001,1.5
10.799999,35.700001,1.5
9.75,34.650002,1.95
11.099998,35.099998,1.5
11.099998,35.099998,1.5
9.75,34.349998,0.75
10.049999,34.650002,2.55
10.950001,35.25,1.95
9.150002,34.950001,0.75
8.099998,36,1.8
7.5,36.599998,2.1
7.5,36.599998,2.1
7.349998,36.150002,1.95
6.75,35.849998,2.85
6.75,35.849998,2.85
6.299999,36.599998,2.7
5.400002,36.900002,2.4
6.450001,36.150002,2.55
6.150002,37.349998,1.95
4.650002,37.349998,3.15
4.200001,36.299999,2.4
4.200001,36.299999,2.4
3.299999,38.099998,3.6
4.349998,37.349998,2.85
4.349998,37.349998,2.85
1.650002,37.950001,2.55
1.5,37.799999,3
1.950001,37.950001,3.75
2.099998,37.799999,4.5
0.900002,38.099998,4.2
1.049999,37.950001,3.45
1.049999,37.950001,3.45
-0.299999,38.099998,3.6
-0.75,38.25,4.05
-0.75,38.25,4.05
-1.199997,38.400002,4.2
-1.949997,39.150002,3.75
-1.949997,39.150002,3.75
-2.25,37.950001,4.05
-3.599998,39,3.6
-3.599998,37.799999,4.2
-3.599998,37.799999,4.2
-3.300003,38.400002,4.8
-2.550003,37.650002,4.05
-2.550003,37.650002,4.05
-4.349998,38.849998,4.65
